id,name,links,ingredients,recipe
11,Gravy,http://www.youtube.com,all ingredients of gravy items,all gravy items are presents here
12,Tomato Sabji,https://youtu.be/_3ZTma_qFWg,"Tomato - 4 large chopped,Oil - 4 tblsp,Mustard Seeds - 1 tsp,Cumin Seeds - 1 tsp,Curry leaves - 1 sprig,Salt to taste,Sugar - 1 tsp,FOR ROASTING & GRINDING:Coriander Seeds / Malli - 3 tblsp,Fennel Seeds / Sombu / Saunf - 2 tsp,Cinnamon / Pattai - 1 small stick,Dry Red Chilli - 4 to 5,Roasted Gram Dal / Pottu Kadalai - 1 tblsp,Coconut - 3 tblsp","1)Take all roasting ingredients in a pan and dry roast till golden. 
2)Take it in a blender and puree till smooth.
3)Now take oil in a pan, add mustard and cumin seeds and let it sizzle.
4)Add in curry leaves and let them sizzle.
5)Add in tomatoes and toss well.
6)Add in salt and sugar and mix well. 
7)Cover and cook for 5 mins.
8)Add in ground masala and water and cook for 10 mins.Serve."
13,Tomato Chutney,https://youtu.be/5upXx_8aNfU,"2 large ripped tomatoes (chopped),2 cloves garlic,1 tsp urad dal,2 tbsp oil,1 tsp chana dal,1 tsp methi seeds / fenugreek seeds,3 kashmiri dried red chilli,1 tsp turmeric powder / haldi,1 tsp sugar,salt to taste,For tempering:2 tsp oil,1 tsp mustard seeds / rai,1 tsp urad dal,pinch of hing /asafoetida,few curry leaves","1)Firstly, in a large kadai heat oil.furthermore add urad dal, chana dal, methi and red chilli. adding few seeds of methi gives a nice taste to chutney.
2)Saute them on medium flame till dal turns golden brown.further, add garlic.
3)Also add chopped tomatoes and continue to saute.
4)Saute till the water evaporates completely and tomato reduces in size.
5)Now add turmeric powder, sugar and salt.
6)Allow the mixture to cool completely and then transfer to a small blender.
7)Further, blend to a smooth paste without adding any water.also prepare the tempering. 
8)Heat oil in a small kadai.
9)Further, once the oil is hot, add mustard seeds, urad dal, hing and curry leaves.allow the tempering to splutter.
10)Later, pour the tempering over tomato chutney.finally, serve with rice, idli or dosa"
14,Tomato Biryani,https://youtu.be/jr5_4bJbaoc,"1 tbsp ghee / clarified butter,1 bay leaf / tej patta,5 cloves / lavang,1 inch cinnamon / dalchini,1 star anise,2 pods cardamom / elachi,1 tsp cumin / jeera,1 tsp fennel / saunf,1 onion (finely chopped),1 tsp ginger garlic paste,1 tsp turmeric / haldi,1 green chilli (slit),1 cup tomato puree,1 tsp kashmiri red chilli powder / lal mirch powder,1 tsp biryani masala,1 tsp salt,carrot (cubed),2 tbsp peas / matar,1 tbsp coriander leaves (finely chopped),1 cup coconut milk,2 tbsp mint / pudina (finely chopped),1 cup water,1 cup basmati rice (soaked 20 minutes)","1)Firstly, in a pressure cooker heat ghee and saute spice.
2)Add 1 onion, 1 tsp ginger garlic paste and 1 green chilli. 
3)Saute well.now add 1 cup tomato puree and cook till it releases oil.
4)Further add 1  tsp turmeric, 1  tsp chilli powder, 1 tsp biryani masala and 1 tsp salt. saute well.additionally, add vegetables of your choice.now add 1 cup coconut milk and 1 cup water. Mix well.
5)Furthermore, add 1 cup basmati rice, soaked 20 minutes and give a good mix.
6)Cover and pressure cook for 2 whistles on medium flame.
7)Finally, serve tomato biryani with onion tomato raita or as it is"
15,Tomato Kurma,https://youtu.be/51a4FHfJ1Y4,"Onion 2,Tomato  2,Sambar powder 1 tsp,Turmeric 1 tsp,Salt  As needed,Coconut,grated cup,Green chillies 5,Fennel 1 tsp,Pottu kadalai/ Fried gram dal 1 tbsp,Oil 1 tbsp,Cinnamon 1 inch piece,Cloves 2","1)First grind coconut, fried gram dal,green chillies and fennel with little water to a fine paste.
2)Heat a kadai with oil. 
3)Temper with cinnamon and cloves. 
4)Add finely chopped onion and fry till transparent.
5)Heat a kadai with oil. 
6)Temper with cinnamon and cloves.
7)Add finely chopped tomatoes and little bit of salt. 
8)Fry until it becomes soft, Add sambar powder and turmeric. 
9)Mix well and fry for two more minutes. 
10)Add 1.5 cups of water, add more salt if needed and bring to boil, Add the ground paste and boil for 3-4 minutes. 
11)Adjust water consistency if it is too thick."
16,Tomato Soup,https://youtu.be/JjoaBoTWCUM,"1 tsp butter,onion (finely chopped),2 clove garlic,1 bay leaf / tej patta,3 tomato (chopped),carrot ( chopped),1 tsp salt,1 cup water,1 tsp sugar,1 tsp pepper (crushed),2 tbsp cream / malai","1)Firstly, in a kadai heat 1 tsp butter and saute 1  onion, 2 clove garlic and 1 bay leaf.
2)Add 3 tomato, 1  carrot chopped and 1  tsp salt.
3)Saute for a minute or till tomatoes change colour.
4)Add 1  cup water, cover and boil for 10 minutes.
5)Boil till tomatoes turn soft and mushy.
6)Now remove the bay leaf and cool the mixture, blend to smooth paste without adding any water.
7)Now sieve the tomato paste discarding the residue.
8)Add 1 cup water or more adjusting consistency.
9)Get the soup to a boil and add 1 tsp sugar, 1 tsp pepper and 1  tsp salt, mix well making sure all the spices are combined well.
10)Turn off the flame and add 2 tbsp cream, mix well.
11)Finally serve creamy tomato soup garnished with mint leaf and cream. "
17,Tomato,http://www.youtube.com,the tomato ingredients are present here,tomato items are placed above
18,Potato Bajji,https://youtu.be/47tvEpB7R6E,"1 cup Besan/ kadalai mavu heaped,3 tbsp rice flour,1 tsp corn flour corn starch,1 & 1 tsp red chilli powder mild spice,1 tsp turmeric,1 tsp asafoetida,1 tsp cumin seeds,1 pinch cooking soda/ sodium bi carbonate generous,1 tsp ghee,1 tsp black pepper optional ,Oil to deep fry,Salt as needed,1 tbsp Idli dosa batter Optional","1)Peel potato, slice thickly and keep immersed in water until use
2)Heat enough oil in a kadai.
3)Take besan, rice flour, corn flour, red chilli powder, turmeric, asafoetida, cumin seeds, cooking soda, pepper and salt in a mixing bowl.
4)Use a whisk to mix well. Add idli dosa batter, enough water to make a thick batter.
5)Spoon in ghee to it and mix again, Add 4-5 potato slices drained from water, patting out excessive water from it.
6)Coat each potato slice in batter and slide gently into hot oil.
7)Pour hot oil over the top of bajjis to puff it nicely.
8)Flip and cook more until both sides are golden and crisp.
9)Drain over paper towel and repeat to finish."
19,Potato Fry,https://youtu.be/0ej0EofUHDw,"2 Potato large ,2 tsp Sambar powder ,replace with 1 tsp chilli powder,1 tsp coriander powder,1 tsp Turmeric,Salt as needed","1)Peel the skin of potato, wash, slice to equal sized rounds.
2)Cut into same thickness strips.
3)Chop the strips to cube, Heat a kadai with oil, splutter mustard, add curry leaves. 
4)Add diced potato and cook for 2 mins. 
5)Stir every 30 sec.
6)Add 2 tsp sambar powder,1.5 tsp turmeric, required salt.
7)Mix and cook same way for 2by4 mins in medium flame, stirring every 30 secs. 
8)Cook for 2 more minutes covered. 
9)Once done, remove in serving bowl."
20,Potato Wedges,https://youtu.be/neQ1MUKQtZc,"4 Potatoes,1 tbsp Garlic finely chopped,1 tbsp Curry leaves finely chopped (Optional),1 tsp Black pepper powder,2 tbsp Oil,Salt as needed","1)First cut the potatoes into half. 
2)Divide and cut each half further into two.
3)Hold your knife diagonally to get equal sized wedges.
4)Take the cut wedges in a mixing bowl. 
5)Add rest of the ingredients and mix.
6)Preheat oven at 200 deg C. 
7)Line a baking tray with aluminium foil. 
8)Grease with oil.
9)Spread the potato wedges without layering. 
10)Bake for 30 mins at 200 deg C. 
11)In between, turn the wedges once for even roasting."
21,Potato Chaat,https://youtu.be/ou1sWZeKEdU,"1 Sweet potato large about 220 gms,1 tbsp green chutney,2 tbsp Tamarind chutney,1 lemon,1 tsp red chilli powder,1 tsp cumin seeds powder(bhuna jeera powder),1 tsp chaat masala,1 tsp Kala namak,Salt as needed,2 tbsp coriander leaves,Sev for topping","1)Peel and cut the sweet potato into bite sized pieces. 
2)Keep immersed in water to prevent blackening. 
3)Gather other required ingredients.
4)Bring water to boil and add sweet potato to it with required salt. 
5)Cook until soft without mashing.
6)Drain from water, place in a mixing bowl. 
7)Add lemon juice, chilli powder, roasted cumin seeds powder, chaat masala, black salt. Mix well. 
8)Transfer to serving bowl. 
9)Top it with sev and coriander leaves before serving"
22,Potato Chips,https://youtu.be/h8cOtMpS9PU,"Potato 2,Gram flour 1 cup,Rice flour 2 tbsp,Sesame seeds 2 tsp,Red chilli powder 2 tsp,Turmeric 1 tsp,Asafoetida 1 tsp,Salt as needed,Oil to deep fry ","1)Peel the skin of potato and keep immersed in water. 
2)Use a grater with large holes and grate the potatoes.
3)Grate the potatoes by starting from one end and finish in other end so that you get longer grated potato, otherwise will fall short.
4)Keep the grated potato immersed in water and wash well. 
5)Drain completely without water in potato.
6)Take grated potato in a mixing bowl. 
7)Add all the other ingredients except oil.
8)Mix well to coat the potatoes, Heat oil in kadai. 
9)Once hot, add the potato mixture in a sprinkled way.
10)Deep fry by stirring occasionally. 
11)Keep the flame in medium once you turn the potato chips.
12)Once golden and crisp, drain over paper towel."
23,Potato,http://www.youtube.com,all potato ingredients are metioned here,potato items present above
24,Peanut Chutney,https://youtu.be/Dt4eKKvUq9A,"1 cup peanut / groundnut,2 tsp oil,1 tsp urad dal,1 tsp chana dal,2 cloves garlic,1 green chilli,small piece tamarind,salt to taste,1 cup water (or as required),2 tsp oil,1 tsp mustard seeds,1 tsp urad dal,pinch of hing / asafoetida,1 dried red chilli (broken),few curry leaves","1)Firstly, dry roast 1 cup peanut on medium flame,roast till the peanuts start to separate the skin.
2)Allow to cool down and remove the skin completely.
3)Transfer the peanuts to the blender.
4)Further, add 2 tsp of oil and roast 1 tsp urad dal and 1 tsp chana dal,furthermore, roast 1 green chilli and 2 cloves garlic till the blisters appear.
5)Transfer to the blender, also add in small piece tamarind and salt to taste.
6)Blend to smooth consistency adding 1  cup water, or as required.
7)Now prepare the tempering by heating 2 tsp oil, also add in 1 tsp mustard seeds, 1 tsp urad dal, pinch of hing, 1 dried red chilli and few curry leaves.
8)Allow the tempering to splutter.
9)Finally, pour the tempering over peanut chutney and serve along with idli or dosa."
25,Coconut Chutney,https://youtu.be/oP6U692zKQA,"1 cup Fresh Coconut,1 tsp Chana Dal,1 tbsp Raw Peanuts,2 Green Chillies,1 tbsp Oil,1 tsp Ginger,1/2 tsp Mustard Seeds,1/2 tsp Cumin Seeds,pinch of Hing,2 to 3 dried Red Chillies,6 to 7 Curry Leaves","1)Wash and soak chana dal in water for 4 hours.
2)Mix coconut, soaked chana dal, peanuts, green chillies, salt, sugar with some water in mixie pot and make in to smooth paste.
3)Remove coconut paste in mixing bowl.
4)Heat up oil, add mustard seeds, cumin seeds, hing, dried red chillies, curry leaves and pour tempering over coconut chutney.
5)Mix tempering well with chutney.
6)Serve with Idly, Dosa, Utthapa!"
26,Mint Chutney,https://youtu.be/niDJJaDZqM4,"1.5 Cup Coriander Leaves,1 Cup Mint Leaves,2 Green Chillies,1 Inch Ginger,1 tbs Peanuts,1 tsp Chat Masala,1 tsp Cumin Seed Powder,1 tsp Sugar,Salt,Lime Juice,Water","1)In a mixer, add coriander leaves, mint leaves, green chillies, ginger, peanuts, chat masala, cumin seed powder and sugar.
2)In order to maintain the color of the green chutney, add salt and lime juice in the end,Grind everything well.
3)Add water that's enough to grind,Coriander Mint Chutney is ready!
"
27,Mango Chutney,https://youtu.be/qYcr_1BSVxQ,"7 shallots diced,1 tbsp ginger,finely diced,1 tsp coriander powder,1 tsp black mustard seeds,1 tsp cumin seeds,1 tsp chili flakes,1 cinnamon stick,2 lb mango flesh (900 gr),cut into random sizes,1 cup raisins (135 gr),1  cup apple vinegar (315 ml),1 cup granulated sugar (200 gr)","1)Heat some oil on medium heat. Add in shallots and cook for around 3 minutes until they softened a bit.
2)Add in ginger, coriander powder, mustard seeds, cumin seeds, chili flakes, cinnamon stick and cook for 1 minute until the powdery taste is gone.
3)Add in mango, raisins, apple vinegar and sugar. Mix everything and bring it to a boil.
4)Reduce the heat and let it simmer for 1 1  hour or until the mixture thickens to your desired consistency. 
5)Stir now and then to prevent it getting burnt, Optional: Mash some of the mango chunks to get that mashed texture or simply leave it as it is.
6)Store in airtight containers and once cooled, keep them in the fridge. 
7)This chutney is absolutely delicious together with my baked tandoori chicken"
28,Chutney,http://www.youtube.com,this displays all the ingredients to prpare chutney,all the ingredients to prepare chutney are put together to make it perfect 
29,Keema Biryani,https://youtu.be/23fRSBarfLA,"Cooking oil 1 Cup,Pyaz (Onion) sliced 1 medium,Adrak lehsan paste (Ginger garlic paste) 1 & 1 tbs,Haldee powder (Turmeric powder) 1 tsp,Lal mirch powder (Red chili powder) 1 tbs or to taste,Dhania powder (Coriander powder) 1 tbs,Namak (Salt) 1 & 1 tsp or to taste,Garam masala powder 1 tsp,Beef qeema (Mince) 1 kg (hand chopped),Hari mirch (Green chilli) chopped 2 tbs,Lemon juice 1 tbs, Dahi (Yogurt) whisked 1 Cup,Pani (Water) as required,Sabut kali mirch (Black peppercorns) 1 tsp,Badi elaichi (Black cardamom) 2,Darchini (Cinnamon stick) 2,Tez paat (Bay leaves) 3,Hari elaichi (Green cardamom) 2-3,Laung (Cloves) 4-5,Zeera (Cumin seeds) 1 tsp,Namak (Salt) 1 & 1 tbs,Hara dhania (Fresh coriander) chopped 1 Cup,Podina (Mint leaves) chopped 1 Cup,Hari mirch (Green chillies) 2-3,Chawal (Rice) basmati 1 kg (soaked for 30 minutes),Pyaz (Onion) fried handful,Pyaz (Onion) fried,Zarda ka rang (Yellow food color) 1 tsp or as required,Doodh (Milk) 2 tbs
","1)In frying pan,add cooking oil,onion and fry until golden brown.
2)Add ginger garlic paste and mix well.
3)Add turmeric powder and mix well.
4)Add red chili powder,coriander powder,salt,garam masala powder,mix well and cook for 2 minutes.
5)Add beef mince,mix well until changes color and cook for 12-15 minutes.
6)Add green chili,lemon juice,mix well and cook until oil separates.
7)Add yogurt and mix well,cover and cook on low flame for 12-15 minutes then cook on high flame until oil separates & set aside.
8)In pot,add water,black peppercorns,black cardamom,cinnamon sticks,bay leaves,green cardamom, cloves,cumin seeds,salt,fresh coriander,mint leaves,green chillies,mix and bring it to boil.
9)Add rice and boil until 3/4th done then strain,In pot,add a layer of boiled rice,cooked mince,fried onion,boiled rice and fried onion.
10)In milk,add yellow food color and mix well.
11)Add dissolve food color,cover and steam cook on low flame for 10-12 minutes."
30,Paneer Biryani,https://youtu.be/ncqmk7RhIr4,"For marination :1 cup curd / yogurt (thick),1 tsp ginger garlic paste,tsp turmeric,1 tsp kashmiri red chilli powder,2 tbsp biryani masala,2 tbsp coriander (finely chopped),2 tbsp mint / pudina (chopped),1 tsp oil,1 tbsp lemon juice,For rice:6 cup water,2 pods cardamom,4 cloves,1 inch cinnamon,2 bay leaf / tej patta,1 tsp pepper,1 tsp salt,2 tsp oil,1 chilli (slit),1 cup basmati rice (soaked 20 minutes),For biryani:2 tbsp oil,1 tsp ghee / clarified butter,2 bay leaf / tej patta,1 star anise,1 pod black cardamom,1 mace / javitri,2 pods cardamom,1 tsp shah jeera,onion (sliced),1 tomato (finely chopped),2 tbsp coriander (chopped),2 tbsp mint / pudina (chopped),2 tbsp fried onion,pinch biryani masala,2 tbsp saffron milk,1 tsp ghee / clarified butter,1 cup water,1 tsp salt,15 cubes paneer/ cottage cheese,5 onion (petals),2 capsicum (cubed)","1)Firstly, in a large kadai heat 2 tbsp oil and 1 tsp ghee.
2)Saute 2 bay leaf, 1 star anise, 1 pod black cardamom, 1 mace, 2 pods cardamom and 1 tsp shah jeera.
3)Add ½ onion and saute until it turns golden brown.
4)Also add 1 tomato and saute until it turns soft and mushy.
5)Add in marinated paneer and saute well.
6)Saute until the oil separates from sides. Do not overcook as paneer turns rubbery.
7)Further spread prepared rice uniformly.
8)Also top with 2 tbsp coriander, 2 tbsp mint and 2 tbsp fried onion.
9)Further sprinkle pinch biryani masala, 2 tbsp saffron milk, 1 tsp ghee and ¼ cup water.9.Cover with aluminium foil and close the lid. You can also use the dough to seal.
10)Simmer for 20 minutes or until rice is cooked fully.
11)Finally, enjoy paneer biryani with raita and slices of onion."
